motif	num_nodes	erdos_p	num_nodes	mean
1	200	1	375	472
2	200	1	0	0
3	200	1	0	4
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	187	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	4
13	200	1	0	99
1	200	1	350	447
2	200	1	0	0
3	200	1	0	4
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	193	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	4
13	200	1	0	98
1	200	1	278	375
2	200	1	0	0
3	200	1	0	3
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	194	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	3
13	200	1	0	99
1	200	1	476	572
2	200	1	0	0
3	200	1	0	5
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	189	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	5
13	200	1	0	99
1	200	1	1259	1351
2	200	1	0	0
3	200	1	0	13
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	155	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	13
13	200	1	0	99
1	200	1	1053	1146
2	200	1	0	0
3	200	1	0	11
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	183	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	11
13	200	1	0	99
1	200	1	866	960
2	200	1	0	0
3	200	1	0	9
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	176	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	9
13	200	1	0	99
1	200	1	725	820
2	200	1	0	0
3	200	1	0	8
4	200	1	0	0
5	200	1	0	0
6	200	1	0	0
7	200	1	0	0
8	200	1	0	0
9	200	1	172	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	8
13	200	1	0	99
1	200	1	13228	13260
2	200	1	0	0
3	200	1	0	133
4	200	1	0	0
5	200	1	0	0
6	200	1	0	44
7	200	1	0	0
8	200	1	0	0
9	200	1	36	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	132
13	200	1	0	99
1	200	1	11412	11453
2	200	1	0	0
3	200	1	0	115
4	200	1	0	0
5	200	1	0	0
6	200	1	0	33
7	200	1	0	0
8	200	1	0	0
9	200	1	48	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	114
13	200	1	0	98
1	200	1	15064	15087
2	200	1	0	0
3	200	1	0	151
4	200	1	0	0
5	200	1	0	0
6	200	1	0	58
7	200	1	0	0
8	200	1	0	0
9	200	1	25	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	150
13	200	1	0	98
1	200	1	11978	12016
2	200	1	0	0
3	200	1	0	120
4	200	1	0	0
5	200	1	0	0
6	200	1	0	36
7	200	1	0	0
8	200	1	0	0
9	200	1	44	197
10	200	1	0	0
11	200	1	0	0
12	200	1	0	120
13	200	1	0	98
1	200	2	1382	1572
2	200	2	0	2
3	200	2	28	31
4	200	2	0	0
5	200	2	0	0
6	200	2	0	0
7	200	2	0	0
8	200	2	0	0
9	200	2	744	784
10	200	2	0	0
11	200	2	0	7
12	200	2	0	31
13	200	2	198	394
1	200	2	1402	1592
2	200	2	0	2
3	200	2	32	31
4	200	2	0	0
5	200	2	0	0
6	200	2	0	0
7	200	2	0	0
8	200	2	0	0
9	200	2	749	784
10	200	2	0	0
11	200	2	0	7
12	200	2	0	31
13	200	2	198	394
1	200	2	1463	1653
2	200	2	0	2
3	200	2	21	33
4	200	2	0	0
5	200	2	0	0
6	200	2	0	0
7	200	2	0	0
8	200	2	0	0
9	200	2	735	784
10	200	2	0	0
11	200	2	0	7
12	200	2	0	32
13	200	2	198	394
1	200	2	1464	1654
2	200	2	0	2
3	200	2	34	33
4	200	2	0	0
5	200	2	0	0
6	200	2	0	0
7	200	2	0	0
8	200	2	0	0
9	200	2	722	784
10	200	2	0	0
11	200	2	0	7
12	200	2	0	32
13	200	2	198	394
1	200	2	3586	3765
2	200	2	0	2
3	200	2	56	75
4	200	2	0	0
5	200	2	0	0
6	200	2	0	3
7	200	2	0	0
8	200	2	0	0
9	200	2	649	784
10	200	2	0	0
11	200	2	0	7
12	200	2	0	75
13	200	2	198	394
1	200	2	4596	4770
2	200	2	0	2
3	200	2	74	95
4	200	2	0	0
5	200	2	0	0
6	200	2	0	5
7	200	2	0	0
8	200	2	0	0
9	200	2	622	784
10	200	2	0	0
11	200	2	0	7
12	200	2	0	95
13	200	2	198	394
1	200	2	4546	4720
2	200	2	0	2
3	200	2	62	94
4	200	2	0	0
5	200	2	0	0
6	200	2	0	5
7	200	2	0	0
8	200	2	0	0
