motif	num_nodes	erdos_p	occurences	mean
1	100	0.001	0	4
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	2	0
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	0	4
1	100	0.001	1	5
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	0	0
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	1	5
1	100	0.001	1	6
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	1	1
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	0	5
1	100	0.001	0	4
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	2	0
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	0	4
1	100	0.001	1	8
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	3	2
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	1	8
1	100	0.001	0	4
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	0	0
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	1	5
1	100	0.001	0	3
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	0	0
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	0	3
1	100	0.001	0	3
2	100	0.001	0	0
3	100	0.001	0	0
4	100	0.001	0	0
5	100	0.001	0	0
6	100	0.001	0	0
7	100	0.001	0	0
8	100	0.001	0	0
9	100	0.001	0	0
10	100	0.001	0	0
11	100	0.001	0	0
12	100	0.001	0	0
13	100	0.001	1	4
1	100	0.002	0	5
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	0	1
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	2	7
1	100	0.002	2	12
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	5	4
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	3	13
1	100	0.002	0	8
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	2	3
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	4	12
1	100	0.002	0	9
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	3	3
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	3	12
1	100	0.002	2	10
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	5	2
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	4	12
1	100	0.002	2	11
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	3	3
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	1	10
1	100	0.002	1	11
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	5	4
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	0	10
1	100	0.002	2	11
2	100	0.002	0	0
3	100	0.002	0	0
4	100	0.002	0	0
5	100	0.002	0	0
6	100	0.002	0	0
7	100	0.002	0	0
8	100	0.002	0	0
9	100	0.002	4	3
10	100	0.002	0	0
11	100	0.002	0	0
12	100	0.002	0	0
13	100	0.002	3	12
1	100	0.005	15	38
2	100	0.005	0	0
3	100	0.005	1	1
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	31	22
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	12	35
1	100	0.005	17	44
2	100	0.005	0	0
3	100	0.005	0	1
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	26	29
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	10	37
1	100	0.005	11	34
2	100	0.005	0	0
3	100	0.005	0	0
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	23	22
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	6	29
1	100	0.005	8	28
2	100	0.005	0	0
3	100	0.005	0	0
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	25	16
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	9	29
1	100	0.005	15	39
2	100	0.005	0	0
3	100	0.005	0	0
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	29	23
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	6	30
1	100	0.005	16	43
2	100	0.005	0	0
3	100	0.005	0	1
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	42	31
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	11	38
1	100	0.005	11	35
2	100	0.005	0	0
3	100	0.005	0	1
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	20	24
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	16	40
1	100	0.005	13	36
2	100	0.005	1	0
3	100	0.005	1	1
4	100	0.005	0	0
5	100	0.005	0	0
6	100	0.005	0	0
7	100	0.005	0	0
8	100	0.005	0	0
9	100	0.005	32	21
10	100	0.005	0	0
11	100	0.005	0	0
12	100	0.005	0	0
13	100	0.005	15	38
1	100	0.01	40	82
2	100	0.01	0	0
3	100	0.01	1	2
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	75	74
10	100	0.01	0	0
11	100	0.01	0	1
12	100	0.01	0	1
13	100	0.01	27	69
1	100	0.01	23	57
2	100	0.01	2	0
3	100	0.01	1	1
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	44	48
10	100	0.01	0	0
11	100	0.01	0	0
12	100	0.01	0	0
13	100	0.01	19	53
1	100	0.01	61	115
2	100	0.01	1	0
3	100	0.01	1	5
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	125	124
10	100	0.01	0	0
11	100	0.01	0	2
12	100	0.01	0	2
13	100	0.01	66	120
1	100	0.01	83	145
2	100	0.01	0	0
3	100	0.01	2	7
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	171	159
10	100	0.01	0	0
11	100	0.01	0	3
12	100	0.01	0	3
13	100	0.01	90	151
1	100	0.01	64	118
2	100	0.01	0	0
3	100	0.01	2	5
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	144	121
10	100	0.01	0	0
11	100	0.01	0	2
12	100	0.01	0	2
13	100	0.01	78	132
1	100	0.01	50	104
2	100	0.01	0	0
3	100	0.01	2	4
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	116	121
10	100	0.01	0	0
11	100	0.01	0	2
12	100	0.01	3	2
13	100	0.01	53	107
1	100	0.01	40	86
2	100	0.01	0	0
3	100	0.01	0	3
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	77	89
10	100	0.01	0	0
11	100	0.01	0	1
12	100	0.01	2	1
13	100	0.01	43	89
1	100	0.01	40	82
2	100	0.01	0	0
3	100	0.01	3	3
4	100	0.01	0	0
5	100	0.01	0	0
6	100	0.01	0	0
7	100	0.01	0	0
8	100	0.01	0	0
9	100	0.01	99	73
10	100	0.01	0	0
11	100	0.01	1	1
12	100	0.01	2	1
13	100	0.01	47	89
1	100	0.02	176	274
2	100	0.02	1	2
3	100	0.02	8	17
4	100	0.02	0	0
5	100	0.02	0	0
6	100	0.02	0	0
7	100	0.02	0	0
8	100	0.02	0	0
9	100	0.02	376	403
10	100	0.02	0	0
11	100	0.02	4	12
12	100	0.02	3	11
13	100	0.02	209	306
1	100	0.02	188	287
2	100	0.02	4	2
