motif	num_nodes	erdos_p	occurences	mean
1	100	0.001	0	4
2	100	0.001	0	0
1	100	0.001	0	5
2	100	0.001	0	0
1	100	0.001	0	5
2	100	0.001	0	0
1	100	0.001	0	4
2	100	0.001	0	0
1	100	0.001	0	8
2	100	0.001	0	0
1	100	0.001	0	5
2	100	0.001	0	0
1	100	0.001	0	3
2	100	0.001	0	0
1	100	0.001	0	4
2	100	0.001	0	0
1	100	0.002	0	7
2	100	0.002	0	0
1	100	0.002	0	13
2	100	0.002	0	0
1	100	0.002	0	12
2	100	0.002	0	0
1	100	0.002	0	12
2	100	0.002	0	0
1	100	0.002	0	12
2	100	0.002	0	0
1	100	0.002	0	10
2	100	0.002	0	0
1	100	0.002	0	10
2	100	0.002	0	0
1	100	0.002	0	12
2	100	0.002	0	0
1	100	0.005	0	35
2	100	0.005	0	0
1	100	0.005	0	37
2	100	0.005	0	0
1	100	0.005	0	29
2	100	0.005	0	0
1	100	0.005	0	29
2	100	0.005	0	0
1	100	0.005	0	30
2	100	0.005	0	0
1	100	0.005	0	38
2	100	0.005	0	0
1	100	0.005	0	40
2	100	0.005	0	0
1	100	0.005	0	38
2	100	0.005	0	0
1	100	0.01	0	69
2	100	0.01	0	0
1	100	0.01	0	53
2	100	0.01	0	0
1	100	0.01	0	120
2	100	0.01	0	1
1	100	0.01	0	151
2	100	0.01	0	2
1	100	0.01	0	132
2	100	0.01	0	2
1	100	0.01	0	107
2	100	0.01	0	1
1	100	0.01	0	89
2	100	0.01	0	1
1	100	0.01	0	89
2	100	0.01	0	1
1	100	0.02	0	306
2	100	0.02	0	4
1	100	0.02	0	314
2	100	0.02	0	5
1	100	0.02	0	286
2	100	0.02	0	4
1	100	0.02	0	226
2	100	0.02	0	2
1	100	0.02	1	298
2	100	0.02	0	5
1	100	0.02	0	246
2	100	0.02	0	3
1	100	0.02	0	301
2	100	0.02	0	4
1	100	0.02	0	244
2	100	0.02	0	3
1	100	0.05	2	1480
2	100	0.05	0	37
1	100	0.05	2	1608
2	100	0.05	0	39
1	100	0.05	3	1434
2	100	0.05	0	33
1	100	0.05	1	1467
2	100	0.05	0	36
1	100	0.05	6	1411
2	100	0.05	0	33
1	100	0.05	4	1644
2	100	0.05	0	41
1	100	0.05	2	1558
2	100	0.05	0	40
1	100	0.05	0	1406
2	100	0.05	0	32
1	100	0.1	67	4591
2	100	0.1	0	173
1	100	0.1	33	5249
2	100	0.1	0	213
1	100	0.1	51	5372
2	100	0.1	0	215
1	100	0.1	28	5096
2	100	0.1	0	200
1	100	0.1	70	5291
2	100	0.1	0	208
1	100	0.1	17	5318
2	100	0.1	0	210
1	100	0.1	50	5170
2	100	0.1	1	206
1	100	0.1	50	5869
2	100	0.1	0	250
1	100	0.2	656	19139
2	100	0.2	8	1348
1	100	0.2	696	21447
2	100	0.2	4	1637
1	100	0.2	835	20118
2	100	0.2	12	1424
1	100	0.2	651	20853
2	100	0.2	8	1514
1	100	0.2	701	18804
2	100	0.2	10	1315
1	100	0.2	858	21327
2	100	0.2	17	1603
1	100	0.2	875	21217
2	100	0.2	10	1557
1	100	0.2	833	20955
2	100	0.2	9	1536
1	100	0.3	3728	44502
2	100	0.3	93	4647
1	100	0.3	4364	46555
2	100	0.3	136	4995
1	100	0.3	4658	46735
2	100	0.3	148	5018
1	100	0.3	3738	45470
2	100	0.3	117	4800
1	100	0.3	4294	46281
2	100	0.3	143	4912
1	100	0.3	4335	44612
2	100	0.3	153	4639
1	100	0.3	3829	43463
2	100	0.3	120	4490
1	100	0.3	3829	43161
2	100	0.3	107	4457
1	100	0.4	12806	80090
2	100	0.4	656	11140
1	100	0.4	12597	77101
2	100	0.4	645	10466
1	100	0.4	12779	78506
2	100	0.4	725	10807
1	100	0.4	11682	78622
2	100	0.4	575	10838
1	100	0.4	12364	78553
2	100	0.4	641	10744
1	100	0.4	12801	80916
2	100	0.4	686	11309
1	100	0.4	13900	81257
2	100	0.4	786	11351
1	100	0.4	12362	77367
2	100	0.4	657	10518
1	200	0.001	0	14
2	200	0.001	0	0
1	200	0.001	0	26
2	200	0.001	0	0
1	200	0.001	0	23
2	200	0.001	0	0
1	200	0.001	0	24
2	200	0.001	0	0
1	200	0.001	0	17
2	200	0.001	0	0
1	200	0.001	0	16
2	200	0.001	0	0
1	200	0.001	0	31
2	200	0.001	0	0
1	200	0.001	0	28
2	200	0.001	0	0
1	200	0.002	0	62
2	200	0.002	0	0
1	200	0.002	0	51
2	200	0.002	0	0
1	200	0.002	0	54
2	200	0.002	0	0
1	200	0.002	0	64
2	200	0.002	0	0
1	200	0.002	0	63
2	200	0.002	0	0
1	200	0.002	0	55
2	200	0.002	0	0
1	200	0.002	0	69
2	200	0.002	0	0
1	200	0.002	0	60
2	200	0.002	0	0
1	200	0.005	0	202
2	200	0.005	0	1
1	200	0.005	0	184
2	200	0.005	0	1
1	200	0.005	0	184
2	200	0.005	0	1
1	200	0.005	0	142
2	200	0.005	0	0
1	200	0.005	0	225
2	200	0.005	0	1
1	200	0.005	0	205
2	200	0.005	0	1
1	200	0.005	0	179
2	200	0.005	0	1
1	200	0.005	0	191
2	200	0.005	0	1
1	200	0.01	0	565
2	200	0.01	0	4
1	200	0.01	0	618
2	200	0.01	0	5
1	200	0.01	0	471
2	200	0.01	0	3
1	200	0.01	0	594
2	200	0.01	0	4
1	200	0.01	0	547
2	200	0.01	0	3
1	200	0.01	0	597
2	200	0.01	0	4
1	200	0.01	2	584
2	200	0.01	0	4
1	200	0.01	0	549
2	200	0.01	0	4
1	200	0.02	0	2081
2	200	0.02	0	22
1	200	0.02	0	1794
2	200	0.02	0	18
1	200	0.02	3	2060
2	200	0.02	0	20
1	200	0.02	0	2006
2	200	0.02	0	20
1	200	0.02	0	1632
2	200	0.02	0	15
1	200	0.02	1	1885
2	200	0.02	0	18
1	200	0.02	0	2056
2	200	0.02	0	21
1	200	0.02	1	1761
2	200	0.02	0	17
1	200	0.05	27	11052
2	200	0.05	0	225
1	200	0.05	15	10925
2	200	0.05	0	217
1	200	0.05	35	11014
2	200	0.05	0	223
1	200	0.05	27	10760
2	200	0.05	0	208
1	200	0.05	16	10786
2	200	0.05	0	212
1	200	0.05	42	11208
2	200	0.05	0	235
1	200	0.05	37	10587
2	200	0.05	0	210
1	200	0.05	42	11415
2	200	0.05	0	232
1	200	0.1	412	42594
2	200	0.1	0	1581
1	200	0.1	349	40446
2	200	0.1	0	1454
1	200	0.1	488	41809
2	200	0.1	0	1552
1	200	0.1	472	42744
2	200	0.1	1	1590
1	200	0.1	376	40370
2	200	0.1	0	1457
1	200	0.1	295	41576
2	200	0.1	0	1519
1	200	0.1	445	40789
2	200	0.1	0	1482
1	200	0.1	386	41834
2	200	0.1	6	1538
1	200	0.2	5740	158960
2	200	0.2	63	10960
1	200	0.2	6012	160658
2	200	0.2	80	11154
1	200	0.2	6681	165814
2	200	0.2	93	11637
1	200	0.2	6563	162741
2	200	0.2	92	11331
1	200	0.2	6481	157492
2	200	0.2	87	10794
1	200	0.2	6079	158633
2	200	0.2	76	10976
1	200	0.2	7170	161761
2	200	0.2	112	11223
1	200	0.2	6189	158759
2	200	0.2	73	10906
1	200	0.3	31149	359163
2	200	0.3	963	36879
1	200	0.3	31811	361284
2	200	0.3	998	36986
1	200	0.3	33801	357607
2	200	0.3	1055	36540
1	200	0.3	30138	356521
2	200	0.3	889	36418
1	200	0.3	30184	344495
2	200	0.3	889	34561
1	200	0.3	32390	364571
2	200	0.3	960	37608
1	200	0.3	30963	357723
2	200	0.3	907	36429
1	200	0.3	29436	353827
2	200	0.3	846	35961
1	200	0.4	99821	633442
2	200	0.4	5225	85719
1	200	0.4	105933	648477
2	200	0.4	5828	88582
1	200	0.4	102674	637026
2	200	0.4	5486	86510
1	200	0.4	95849	621467
2	200	0.4	4925	83221
1	200	0.4	95601	621473
2	200	0.4	4909	83319
1	200	0.4	99048	627653
2	200	0.4	5181	84598
1	200	0.4	99597	633269
2	200	0.4	5359	85471
1	200	0.4	100677	634500
2	200	0.4	5373	85808
1	500	0.001	0	182
2	500	0.001	0	0
1	500	0.001	0	189
2	500	0.001	0	0
1	500	0.001	0	199
2	500	0.001	0	0
1	500	0.001	0	179
2	500	0.001	0	0
1	500	0.001	0	200
2	500	0.001	0	0
1	500	0.001	0	162
2	500	0.001	0	0
1	500	0.001	0	195
2	500	0.001	0	0
1	500	0.001	0	229
2	500	0.001	0	0
1	500	0.002	0	512
2	500	0.002	0	1
1	500	0.002	0	466
2	500	0.002	0	1
1	500	0.002	0	547
2	500	0.002	0	1
1	500	0.002	0	476
2	500	0.002	0	1
1	500	0.002	0	487
2	500	0.002	0	1
1	500	0.002	0	510
2	500	0.002	0	1
1	500	0.002	0	504
2	500	0.002	0	1
1	500	0.002	0	516
2	500	0.002	0	1
1	500	0.005	0	2176
2	500	0.005	0	7
1	500	0.005	1	2090
2	500	0.005	0	6
1	500	0.005	0	2212
2	500	0.005	0	7
1	500	0.005	0	2127
2	500	0.005	0	6
1	500	0.005	0	2231
2	500	0.005	0	7
1	500	0.005	0	2354
2	500	0.005	0	8
1	500	0.005	0	2196
2	500	0.005	0	7
1	500	0.005	0	2192
2	500	0.005	0	7
1	500	0.01	0	7612
2	500	0.01	0	36
1	500	0.01	1	7814
2	500	0.01	0	38
1	500	0.01	4	7287
2	500	0.01	0	33
1	500	0.01	1	7413
2	500	0.01	0	35
1	500	0.01	0	7229
2	500	0.01	0	34
1	500	0.01	0	8023
2	500	0.01	0	39
1	500	0.01	1	7126
2	500	0.01	0	32
1	500	0.01	0	7704
2	500	0.01	0	37
1	500	0.02	11	26981
2	500	0.02	0	213
1	500	0.02	9	26615
2	500	0.02	0	211
1	500	0.02	3	26952
2	500	0.02	0	214
1	500	0.02	19	27718
2	500	0.02	0	225
1	500	0.02	15	27370
2	500	0.02	0	220
1	500	0.02	6	27788
2	500	0.02	0	225
1	500	0.02	4	27300
2	500	0.02	0	219
1	500	0.02	7	27204
2	500	0.02	0	218
1	500	0.05	462	158650
2	500	0.05	0	2808
1	500	0.05	384	159560
2	500	0.05	0	2860
1	500	0.05	359	160852
2	500	0.05	0	2877
1	500	0.05	323	159111
2	500	0.05	0	2851
1	500	0.05	352	151828
2	500	0.05	0	2630
1	500	0.05	487	162833
2	500	0.05	1	2927
